Company ,Symbol,Amt 1,Price 1,Amt 2,Price 2,Amt 3,Price 3,Amt 4,Price 4,Amt 5,Price 5,Total Amount,Multipler Qty.,Multiplier Price
iShares MSCI Taiwan ETF (EWT),EWT,0.81000,$62.07,0.97,$55.86,1.16,$50.27,1.39,$45.24,1.67,$40.72,$293.66,1.2,0.9
ARK Israel Innovative Technology ETF (IZRL),IZRL,1.79000,$27.98,2.15,$25.18,2.58,$22.66,3.1,$20.39,3.72,$18.35,$294.16,1.2,0.9
iShares MSCI Israel ETF (EIS),EIS,0.50000,$100.33,0.6,$90.30,0.72,$81.27,0.86,$73.14,1.03,$65.83,$293.56,1.2,0.9
iShares MSCI South Korea ETF,EWY,0.56000,$89.19,0.67,$80.27,0.8,$72.24,0.96,$65.02,1.15,$58.52,$291.24,1.2,0.9
iShares MSCI Poland ETF,EPOL,1.53000,$32.78,1.84,$29.50,2.21,$26.55,2.65,$23.90,3.18,$21.51,$294.85,1.2,0.9
Freedom 100 Emerging Markets ETF,FRDM,1.08000,$46.35,1.3,$41.72,1.56,$37.55,1.87,$33.80,2.24,$30.42,$294.22,1.2,0.9
Cambria Global Value ETF,GVAL,1.65000,$30.28,1.98,$27.25,2.38,$24.53,2.86,$22.08,3.43,$19.87,$293.60,1.2,0.9
iShares China Large-Cap ETF,FXI,1.29000,$38.66,1.55,$34.79,1.86,$31.31,2.23,$28.18,2.68,$25.36,$292.84,1.2,0.9
iShares MSCI China ETF,MCHI,0.82000,$61.03,0.98,$54.93,1.18,$49.44,1.42,$44.50,1.7,$40.05,$293.49,1.2,0.9
Invesco China Technology ETF,CQQQ,0.99000,$50.65,1.19,$45.59,1.43,$41.03,1.72,$36.93,2.06,$33.24,$295.06,1.2,0.9
iShares MSCI China Multisector Tech ETF,TCHI,2.17000,$23.03,2.6,$20.73,3.12,$18.66,3.74,$16.79,4.49,$15.11,$292.73,1.2,0.9
KraneShares CSI China Internet ETF,KWEB,1.37000,$36.41,1.64,$32.77,1.97,$29.49,2.36,$26.54,2.83,$23.89,$291.96,1.2,0.9
Xtrackers Harvest CSI 300 China,ASHR,1.55000,$32.23,1.86,$29.01,2.23,$26.11,2.68,$23.50,3.22,$21.15,$293.22,1.2,0.9
WisdomTree China ex-State-Owned,CXSE,1.26000,$39.83,1.51,$35.85,1.81,$32.27,2.17,$29.04,2.6,$26.14,$293.71,1.2,0.9
iShares MSCI China Small-Cap,ECNS,1.44000,$34.79,1.73,$31.31,2.08,$28.18,2.5,$25.36,3,$22.82,$294.74,1.2,0.9
KraneShares SSE STAR Market 50,KSTR,2.82000,$17.74,3.38,$15.97,4.06,$14.37,4.87,$12.93,5.84,$11.64,$293.29,1.2,0.9
VanEck ChiNext ETF,CNXT,1.24000,$40.45,1.49,$36.41,1.79,$32.77,2.15,$29.49,2.58,$26.54,$294.94,1.2,0.9
KraneShares MSCI All China Health Care,KURE,2.64000,$18.91,3.17,$17.02,3.8,$15.32,4.56,$13.79,5.47,$12.41,$292.86,1.2,0.9
iShares MSCI Indonesia ETF,EIDO,2.72000,$18.35,3.26,$16.52,3.91,$14.87,4.69,$13.38,5.63,$12.04,$292.45,1.2,0.9
VanEck Indonesia Index ETF,IDX,3.04000,$16.46,3.65,$14.81,4.38,$13.33,5.26,$12.00,6.31,$10.80,$293.75,1.2,0.9
Franklin FTSE South Korea ETF,FLKR,1.69000,$29.65,2.03,$26.69,2.44,$24.02,2.93,$21.62,3.52,$19.46,$294.74,1.2,0.9
VanEck Israel ETF (ISRA),ISRA,0.93000,$54.01,1.12,$48.61,1.34,$43.75,1.61,$39.38,1.93,$35.44,$295.10,1.2,0.9
Global X Defense Tech ETF,SHLD,0.80000,$62.43,0.96,$56.19,1.15,$50.57,1.38,$45.51,1.66,$40.96,$292.84,1.2,0.9
U.S. Global Tech and Aerospace & Def ETF,WAR,2.15000,$23.23,2.58,$20.91,3.1,$18.82,3.72,$16.94,4.46,$15.25,$293.27,1.2,0.9
Invesco Aerospace & Defense ETF,PPA,0.34000,$146.99,0.41,$132.29,0.49,$119.06,0.59,$107.15,0.71,$96.44,$294.25,1.2,0.9
First Trust Indxx Aerospace & Defense ETF,MISL,1.27000,$39.36,1.52,$35.42,1.82,$31.88,2.18,$28.69,2.62,$25.82,$292.04,1.2,0.9
"American Healthcare REIT, Inc.",AHR,1.00000,$49.81,1.2,$44.83,1.44,$40.35,1.73,$36.32,2.08,$32.69,$292.54,1.2,0.9
"Prologis, Inc.",PLD,0.40000,$123.90,0.48,$111.51,0.58,$100.36,0.7,$90.32,0.84,$81.29,$292.80,1.2,0.9
iShares MSCI Taiwan ETF,EWT,0.81000,$62.07,0.97,$55.86,1.16,$50.27,1.39,$45.24,1.67,$40.72,$293.66,1.2,0.9
iShares MSCI Taiwan ETF,FLTW,0.86000,$57.90,1.03,$52.11,1.24,$46.90,1.49,$42.21,1.79,$37.99,$292.52,1.2,0.9
iShares MSCI Singapore ETF,EWS,1.81000,$27.69,2.17,$24.92,2.6,$22.43,3.12,$20.19,3.74,$18.17,$293.46,1.2,0.9
Prologis,PLD,0.40000,$123.90,0.48,$111.51,0.58,$100.36,0.7,$90.32,0.84,$81.29,$292.80,1.2,0.9
American Tower,AMT,0.28000,$178.50,0.34,$160.65,0.41,$144.59,0.49,$130.13,0.59,$117.12,$296.75,1.2,0.9
Equinix,EQIX,0.07000,$760.30,0.08,$684.27,0.1,$615.84,0.12,$554.26,0.14,$498.83,$305.89,1.2,0.9
Simon Property Group,SPG,0.28000,$181.36,0.34,$163.22,0.41,$146.90,0.49,$132.21,0.59,$118.99,$301.49,1.2,0.9
Public Storage,PSA,0.19000,$266.24,0.23,$239.62,0.28,$215.66,0.34,$194.09,0.41,$174.68,$303.69,1.2,0.9
Digital Realty,DLR,0.31000,$158.74,0.37,$142.87,0.44,$128.58,0.53,$115.72,0.64,$104.15,$286.63,1.2,0.9
Realty Income,O,0.89000,$56.47,1.07,$50.82,1.28,$45.74,1.54,$41.17,1.85,$37.05,$295.13,1.2,0.9
Defiance Quantum ETF ,QTUM,0.49000,$101.59,0.59,$91.43,0.71,$82.29,0.85,$74.06,1.02,$66.65,$293.08,1.2,0.9
Gladstone Land Corporation ,LAND,5.57000,$8.98,6.68,$8.08,8.02,$7.27,9.62,$6.54,11.54,$5.89,$293.18,1.2,0.9
Farmland Partners Inc. (FPI),FPI,5.29000,$9.45,6.35,$8.51,7.62,$7.66,9.14,$6.89,10.97,$6.20,$293.39,1.2,0.9
Ishares Copper And Metals Mining ETF ,ICOP,1.36000,$36.70,1.63,$33.03,1.96,$29.73,2.35,$26.76,2.82,$24.08,$292.81,1.2,0.9
VanEck Agribusiness ETF,MOO,0.72000,$69.46,0.86,$62.51,1.03,$56.26,1.24,$50.63,1.49,$45.57,$292.40,1.2,0.9
"United States Copper Index Fund, LP )",CPER,1.62000,$30.79,1.94,$27.71,2.33,$24.94,2.8,$22.45,3.36,$20.21,$292.51,1.2,0.9
Global X Copper Miners ETF,COPX,0.87000,$57.73,1.04,$51.96,1.25,$46.76,1.5,$42.08,1.8,$37.87,$294.00,1.2,0.9
Sprott Junior Copper Miners ETF,COPJ,1.47000,$33.92,1.76,$30.53,2.11,$27.48,2.53,$24.73,3.04,$22.26,$291.82,1.2,0.9
"Lyft, Inc",LYFT,2.50000,$19.97,3,$17.97,3.6,$16.17,4.32,$14.55,5.18,$13.10,$292.76,1.2,0.9
